設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,金門縣,557,0,0,2,0,1,0,2,2,12,0,0,0,3,0,11,0,0,2,12,8.44,0,0,0.36,0,0.18,0,0.36,0.36,2.15,0,0,0,0.54,0,1.97,0,0,0.36,2.15
國立,連江縣,84,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,2,9.52,0,0,0,0,0,0,1.19,0,1.19,0,0,0,0,0,4.76,0,0,0,2.38
縣市立,新北市,13283,9,1,63,12,4,21,54,19,106,5,8,2,31,43,15,2,7,21,145,4.28,0.07,0.01,0.47,0.09,0.03,0.16,0.41,0.14,0.8,0.04,0.06,0.02,0.23,0.32,0.11,0.02,0.05,0.16,1.09
縣市立,臺北市,21581,0,0,5,1,0,1,29,14,31,2,1,0,29,27,5,1,4,17,35,0.94,0,0,0.02,0,0,0,0.13,0.06,0.14,0.01,0,0,0.13,0.13,0.02,0,0.02,0.08,0.16
縣市立,桃園市,3195,1,0,3,0,0,0,1,4,3,0,0,0,0,0,5,0,0,4,3,0.75,0.03,0,0.09,0,0,0,0.03,0.13,0.09,0,0,0,0,0,0.16,0,0,0.13,0.09
縣市立,臺中市,2896,1,0,5,4,0,1,2,1,7,0,7,0,0,1,25,1,1,6,1,2.18,0.03,0,0.17,0.14,0,0.03,0.07,0.03,0.24,0,0.24,0,0,0.03,0.86,0.03,0.03,0.21,0.03
縣市立,臺南市,614,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0.16,0,0,0,0.16,0,1.14,0,0,0,0
縣市立,高雄市,11510,4,2,71,12,3,22,19,18,77,1,3,2,43,6,34,7,1,16,51,3.41,0.03,0.02,0.62,0.1,0.03,0.19,0.17,0.16,0.67,0.01,0.03,0.02,0.37,0.05,0.3,0.06,0.01,0.14,0.44
縣市立,宜蘭縣,84,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,16.67,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,0,0,0,0
縣市立,新竹縣,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,苗栗縣,652,0,0,1,0,0,0,2,2,6,1,0,0,0,0,0,0,0,2,14,4.29,0,0,0.15,0,0,0,0.31,0.31,0.92,0.15,0,0,0,0,0,0,0,0.31,2.15
縣市立,彰化縣,746,0,0,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0,2,1.34,0,0,0.13,0.13,0,0,0.13,0,0.54,0,0,0,0,0.13,0,0,0,0,0.27
縣市立,南投縣,251,0,0,0,1,0,1,1,0,1,0,0,0,1,0,2,0,0,0,1,3.19,0,0,0,0.4,0,0.4,0.4,0,0.4,0,0,0,0.4,0,0.8,0,0,0,0.4
縣市立,雲林縣,341,5,0,6,1,0,2,3,1,0,0,0,0,0,1,2,0,0,3,0,7.04,1.47,0,1.76,0.29,0,0.59,0.88,0.29,0,0,0,0,0,0.29,0.59,0,0,0.88,0
縣市立,嘉義縣,204,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.49,0,0,0,0
縣市立,屏東縣,525,0,0,1,0,0,1,1,0,3,2,0,0,0,0,34,0,0,1,0,8.19,0,0,0.19,0,0,0.19,0.19,0,0.57,0.38,0,0,0,0,6.48,0,0,0.19,0
縣市立,臺東縣,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,33.33,0
縣市立,花蓮縣,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,373,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1.07,0,0,0,0
縣市立,新竹市,837,0,0,1,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,0,1.43,0,0,0.12,0,0,0,0.72,0,0.48,0,0,0,0.12,0,0,0,0,0,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,15224,8,6,159,28,2,93,300,100,912,37,14,8,190,118,33,25,32,276,588,19.24,0.05,0.04,1.04,0.18,0.01,0.61,1.97,0.66,5.99,0.24,0.09,0.05,1.25,0.78,0.22,0.16,0.21,1.81,3.86
私立,臺北市,13570,2,5,20,5,3,34,146,121,643,24,21,10,161,94,2,4,39,215,532,15.34,0.01,0.04,0.15,0.04,0.02,0.25,1.08,0.89,4.74,0.18,0.15,0.07,1.19,0.69,0.01,0.03,0.29,1.58,3.92
私立,桃園市,15637,16,7,312,65,3,85,197,212,705,40,13,4,309,133,92,10,14,214,282,17.35,0.1,0.04,2,0.42,0.02,0.54,1.26,1.36,4.51,0.26,0.08,0.03,1.98,0.85,0.59,0.06,0.09,1.37,1.8
私立,臺中市,19824,38,5,422,39,18,91,203,114,842,53,36,11,244,101,65,15,31,167,485,15.03,0.19,0.03,2.13,0.2,0.09,0.46,1.02,0.58,4.25,0.27,0.18,0.06,1.23,0.51,0.33,0.08,0.16,0.84,2.45
私立,臺南市,9058,17,8,234,25,2,37,109,55,486,22,14,7,107,34,43,5,1,59,197,16.14,0.19,0.09,2.58,0.28,0.02,0.41,1.2,0.61,5.37,0.24,0.15,0.08,1.18,0.38,0.47,0.06,0.01,0.65,2.17
私立,高雄市,12934,40,11,485,34,7,69,211,126,1028,51,11,15,241,144,404,14,7,138,397,26.54,0.31,0.09,3.75,0.26,0.05,0.53,1.63,0.97,7.95,0.39,0.09,0.12,1.86,1.11,3.12,0.11,0.05,1.07,3.07
私立,宜蘭縣,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52
私立,新竹縣,2934,3,1,88,6,0,19,38,7,155,2,9,1,44,42,5,3,4,19,78,17.86,0.1,0.03,3,0.2,0,0.65,1.3,0.24,5.28,0.07,0.31,0.03,1.5,1.43,0.17,0.1,0.14,0.65,2.66
私立,苗栗縣,2138,2,10,93,8,0,17,40,20,172,7,17,10,51,38,20,2,5,77,54,30.07,0.09,0.47,4.35,0.37,0,0.8,1.87,0.94,8.04,0.33,0.8,0.47,2.39,1.78,0.94,0.09,0.23,3.6,2.53
私立,彰化縣,4198,41,1,201,17,1,36,134,23,339,6,1,0,57,8,38,3,8,16,124,25.11,0.98,0.02,4.79,0.4,0.02,0.86,3.19,0.55,8.08,0.14,0.02,0,1.36,0.19,0.91,0.07,0.19,0.38,2.95
私立,南投縣,1005,5,1,12,2,3,3,10,6,77,3,1,2,10,9,1,0,0,20,34,19.8,0.5,0.1,1.19,0.2,0.3,0.3,1,0.6,7.66,0.3,0.1,0.2,1,0.9,0.1,0,0,1.99,3.38
私立,雲林縣,2850,70,2,53,23,3,14,122,6,119,3,0,0,16,59,25,0,5,11,116,22.7,2.46,0.07,1.86,0.81,0.11,0.49,4.28,0.21,4.18,0.11,0,0,0.56,2.07,0.88,0,0.18,0.39,4.07
私立,嘉義縣,2204,61,1,81,3,0,20,20,19,161,4,2,0,36,11,44,1,5,25,97,26.81,2.77,0.05,3.68,0.14,0,0.91,0.91,0.86,7.3,0.18,0.09,0,1.63,0.5,2,0.05,0.23,1.13,4.4
私立,屏東縣,2055,29,1,18,8,11,42,45,17,176,12,1,0,103,8,79,0,2,9,51,29.78,1.41,0.05,0.88,0.39,0.54,2.04,2.19,0.83,8.56,0.58,0.05,0,5.01,0.39,3.84,0,0.1,0.44,2.48
私立,臺東縣,418,5,0,4,3,0,7,7,3,14,2,0,0,20,0,40,0,1,1,13,28.71,1.2,0,0.96,0.72,0,1.67,1.67,0.72,3.35,0.48,0,0,4.78,0,9.57,0,0.24,0.24,3.11
私立,花蓮縣,1395,5,0,3,5,1,8,21,2,85,0,1,0,19,7,39,0,1,15,31,17.42,0.36,0,0.22,0.36,0.07,0.57,1.51,0.14,6.09,0,0.07,0,1.36,0.5,2.8,0,0.07,1.08,2.22
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1440,2,0,9,1,0,8,3,6,30,2,1,0,8,24,12,0,1,12,28,10.21,0.14,0,0.63,0.07,0,0.56,0.21,0.42,2.08,0.14,0.07,0,0.56,1.67,0.83,0,0.07,0.83,1.94
私立,新竹市,2697,3,0,84,4,1,17,28,17,140,1,1,1,25,100,6,6,3,26,38,18.58,0.11,0,3.11,0.15,0.04,0.63,1.04,0.63,5.19,0.04,0.04,0.04,0.93,3.71,0.22,0.22,0.11,0.96,1.41
私立,嘉義市,2579,34,0,19,10,0,6,48,45,176,18,1,1,74,20,31,1,0,64,60,23.58,1.32,0,0.74,0.39,0,0.23,1.86,1.74,6.82,0.7,0.04,0.04,2.87,0.78,1.2,0.04,0,2.48,2.33
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
